Agricultural and Biological Sciences,Agricultural and Biological Sciences (miscellaneous),,,,
Agricultural and Biological Sciences,Agronomy and Crop Science,,,,
Agricultural and Biological Sciences,Animal Science and Zoology,,,,
Agricultural and Biological Sciences,Aquatic Science,,,,
Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",,,,
Agricultural and Biological Sciences,Food Science,,,,
Agricultural and Biological Sciences,Forestry,,,,
Agricultural and Biological Sciences,General Agricultural and Biological Sciences,,,,
Agricultural and Biological Sciences,Horticulture,,,,
Agricultural and Biological Sciences,Insect Science,,,,
Agricultural and Biological Sciences,Plant Science,,,,
Agricultural and Biological Sciences,Soil Science,,,,
 Arts and Humanities,Archeology (arts and humanities),,,,
 Arts and Humanities,Arts and Humanities (miscellaneous),,,,
 Arts and Humanities,Classics,,,,
 Arts and Humanities,Conservation,,,,
 Arts and Humanities,General Arts and Humanities,,,,
 Arts and Humanities,History,,,,
 Arts and Humanities,History and Philosophy of Science,,,,
 Arts and Humanities,Language and Linguistics,,,,
 Arts and Humanities,Literature and Literary Theory,,,,
 Arts and Humanities,Museology,,,,
 Arts and Humanities,Music,,,,
 Arts and Humanities,Philosophy,,,,
 Arts and Humanities,Religious Studies,,,,
 Arts and Humanities,Visual Arts and Performing Arts,,,,
" Biochemistry, Genetics and Molecular Biology",Aging,,,,
" Biochemistry, Genetics and Molecular Biology",Biochemistry,,,,
" Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology (miscellaneous)",,,,
" Biochemistry, Genetics and Molecular Biology",Biophysics,,,,
" Biochemistry, Genetics and Molecular Biology",Biotechnology,,,,
" Biochemistry, Genetics and Molecular Biology",Cancer Research,,,,
" Biochemistry, Genetics and Molecular Biology",Cell Biology,,,,
" Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,,,,
" Biochemistry, Genetics and Molecular Biology",Developmental Biology,,,,
" Biochemistry, Genetics and Molecular Biology",Endocrinology,,,,
" Biochemistry, Genetics and Molecular Biology","General Biochemistry, Genetics and Molecular Biology",,,,
" Biochemistry, Genetics and Molecular Biology",Genetics,,,,
" Biochemistry, Genetics and Molecular Biology",Molecular Biology,,,,
" Biochemistry, Genetics and Molecular Biology",Molecular Medicine,,,,
" Biochemistry, Genetics and Molecular Biology",Physiology,,,,
" Biochemistry, Genetics and Molecular Biology",Structural Biology,,,,
" Business, Management and Accounting",Accounting,,,,
" Business, Management and Accounting",Business and International Management,,,,
" Business, Management and Accounting","Business, Management and Accounting (miscellaneous)",,,,
" Business, Management and Accounting","General Business, Management and Accounting",,,,
" Business, Management and Accounting",Industrial Relations,,,,
" Business, Management and Accounting",Management Information Systems,,,,
" Business, Management and Accounting",Management of Technology and Innovation,,,,
" Business, Management and Accounting",Marketing,,,,
" Business, Management and Accounting",Organizational Behavior and Human Resource Management,,,,
" Business, Management and Accounting",Strategy and Management,,,,
" Business, Management and Accounting","Tourism, Leisure and Hospitality Management",,,,
 Chemical Engineering,Bioengineering,,,,
 Chemical Engineering,Catalysis,,,,
 Chemical Engineering,Chemical Engineering (miscellaneous),,,,
 Chemical Engineering,Chemical Health and Safety,,,,
 Chemical Engineering,Colloid and Surface Chemistry,,,,
 Chemical Engineering,Filtration and Separation,,,,
 Chemical Engineering,Fluid Flow and Transfer Processes,,,,
 Chemical Engineering,General Chemical Engineering,,,,
 Chemical Engineering,Process Chemistry and Technology,,,,
 Chemistry,Analytical Chemistry,,,,
 Chemistry,Chemistry (miscellaneous),,,,
 Chemistry,Electrochemistry,,,,
 Chemistry,General Chemistry,,,,
 Chemistry,Inorganic Chemistry,,,,
 Chemistry,Organic Chemistry,,,,
 Chemistry,Physical and Theoretical Chemistry,,,,
 Chemistry,Spectroscopy,,,,
 Computer Science,Artificial Intelligence,,,,
 Computer Science,Computational Theory and Mathematics,,,,
 Computer Science,Computer Graphics and Computer-Aided Design,,,,
 Computer Science,Computer Networks and Communications,,,,
 Computer Science,Computer Science (miscellaneous),,,,
 Computer Science,Computer Science Applications,,,,
 Computer Science,Computer Vision and Pattern Recognition,,,,
 Computer Science,General Computer Science,,,,
 Computer Science,Hardware and Architecture,,,,
 Computer Science,Human-Computer Interaction,,,,
 Computer Science,Information Systems,,,,
 Computer Science,Signal Processing,,,,
 Computer Science,Software,,,,
 Decision Sciences,Decision Sciences (miscellaneous),,,,
 Decision Sciences,General Decision Sciences,,,,
 Decision Sciences,Information Systems and Management,,,,
 Decision Sciences,Management Science and Operations Research,,,,
 Decision Sciences,"Statistics, Probability and Uncertainty",,,,
 Dentistry,Dental Assisting,,,,
 Dentistry,Dental Hygiene,,,,
 Dentistry,Dentistry (miscellaneous),,,,
 Dentistry,General Dentistry,,,,
 Dentistry,Oral Surgery,,,,
 Dentistry,Orthodontics,,,,
 Dentistry,Periodontics,,,,
 Earth and Planetary Sciences,Atmospheric Science,,,,
 Earth and Planetary Sciences,Computers in Earth Sciences,,,,
 Earth and Planetary Sciences,Earth and Planetary Sciences (miscellaneous),,,,
 Earth and Planetary Sciences,Earth-Surface Processes,,,,
 Earth and Planetary Sciences,Economic Geology,,,,
 Earth and Planetary Sciences,General Earth and Planetary Sciences,,,,
 Earth and Planetary Sciences,Geochemistry and Petrology,,,,
 Earth and Planetary Sciences,Geology,,,,
 Earth and Planetary Sciences,Geophysics,,,,
 Earth and Planetary Sciences,Geotechnical Engineering and Engineering Geology,,,,
 Earth and Planetary Sciences,Oceanography,,,,
 Earth and Planetary Sciences,Paleontology,,,,
 Earth and Planetary Sciences,Space and Planetary Science,,,,
 Earth and Planetary Sciences,Stratigraphy,,,,
" Economics, Econometrics and Finance",Economics and Econometrics,,,,
" Economics, Econometrics and Finance","Economics, Econometrics and Finance (miscellaneous)",,,,
